variant,strategy,mean,std
baseline,penultimate,6.276826522559122,0.0376338975476852
baseline,last4_concat,6.769959522365278,0.23334000490875512
dapt,penultimate,6.174071676008101,0.039736773951999885
dapt,last4_concat,6.579929157804198,0.2066160935437962
