variant,strategy,corr_drift_procrustes,mean_drift,mean_procrustes
baseline,penultimate,0.5219214761072852,2.853268392259154,3.2663800798068316
baseline,last4_concat,0.15293025979361644,4.067302056456233,4.752282103867644
dapt,penultimate,0.6386782414364586,2.0532882594888537,2.2955261609274085
dapt,last4_concat,0.11437404767657341,2.963703299125402,3.4463988437615045
