variant,strategy,pearson,spearman
baseline,penultimate,0.9803749835701997,0.9656978132124118
baseline,last4_concat,0.9977611209089281,0.990909090909091
dapt,penultimate,0.8838566420305489,0.8865042034386229
dapt,last4_concat,0.9901389456171702,0.9656978132124118
